property,seed,basis,arm,realization,init,epochs,baseline,corrected,delta,probe_r2_mean,base_Frob,base_angErr,base_compMAE,base_eigMAE,base_elem,base_iso,base_magMAE,base_vecMAE,corr_Frob,corr_angErr,corr_compMAE,corr_eigMAE,corr_elem,corr_iso,corr_magMAE,corr_vecMAE
dipole,0,primary,null,0,0,,0.090131596,0.090131596,0.0,,,4.5294647,0.090131596,,,,0.10123755,0.18293388,,,,,,,,
dipole,0,primary,tda,0,0,28,0.090131596,0.09136684,0.0012352467,-0.06502211093902588,,4.5294647,0.090131596,,,,0.10123755,0.18293388,,4.529464,0.09136684,,,,0.10555946,0.18542522
dipole,0,primary,tda,0,1,33,0.090131596,0.09139921,0.001267612,-0.06612241268157959,,4.5294647,0.090131596,,,,0.10123755,0.18293388,,4.529467,0.09139921,,,,0.105614066,0.18546042
dipole,0,primary,tda,0,2,79,0.090131596,0.099302396,0.0091708,-0.6829429864883423,,4.5294647,0.090131596,,,,0.10123755,0.18293388,,4.673244,0.099302396,,,,0.12528603,0.20156707
dipole,0,primary,random,0,0,18,0.090131596,0.090395525,0.00026392937,-0.021712541580200195,,4.5294647,0.090131596,,,,0.10123755,0.18293388,,4.5294633,0.090395525,,,,0.102206506,0.18345079
dipole,0,primary,random,0,1,16,0.090131596,0.090395175,0.0002635792,-0.021761298179626465,,4.5294647,0.090131596,,,,0.10123755,0.18293388,,4.529463,0.090395175,,,,0.10221549,0.18344998
dipole,0,primary,random,0,2,16,0.090131596,0.09034109,0.00020949543,-0.019729256629943848,,4.5294647,0.090131596,,,,0.10123755,0.18293388,,4.5294642,0.09034109,,,,0.10201582,0.18334438
dipole,0,primary,random,1,0,17,0.090131596,0.09045675,0.0003251508,-0.024095535278320312,,4.5294647,0.090131596,,,,0.10123755,0.18293388,,4.5294604,0.09045675,,,,0.102433965,0.18357168
dipole,0,primary,random,1,1,16,0.090131596,0.09040188,0.0002702847,-0.022032499313354492,,4.5294647,0.090131596,,,,0.10123755,0.18293388,,4.529463,0.09040188,,,,0.10224147,0.18346451
dipole,0,primary,random,1,2,16,0.090131596,0.09034367,0.00021207333,-0.01983654499053955,,4.5294647,0.090131596,,,,0.10123755,0.18293388,,4.529466,0.09034367,,,,0.10202523,0.18334761
dipole,0,primary,random,2,0,17,0.090131596,0.09046026,0.00032866746,-0.024071216583251953,,4.5294647,0.090131596,,,,0.10123755,0.18293388,,4.5294657,0.09046026,,,,0.102438994,0.18357468
dipole,0,primary,random,2,1,16,0.090131596,0.09040339,0.00027179718,-0.022100329399108887,,4.5294647,0.090131596,,,,0.10123755,0.18293388,,4.5294685,0.09040339,,,,0.1022467,0.1834688
dipole,0,primary,random,2,2,16,0.090131596,0.09033663,0.00020503253,-0.019601821899414062,,4.5294647,0.090131596,,,,0.10123755,0.18293388,,4.529466,0.09033663,,,,0.10200382,0.18333744
dipole,0,primary,random,3,0,18,0.090131596,0.090389885,0.00025828928,-0.021620631217956543,,4.5294647,0.090131596,,,,0.10123755,0.18293388,,4.5294685,0.090389885,,,,0.10219582,0.18344337
dipole,0,primary,random,3,1,16,0.090131596,0.09040836,0.00027676672,-0.02245795726776123,,4.5294647,0.090131596,,,,0.10123755,0.18293388,,4.529467,0.09040836,,,,0.102261305,0.18347967
dipole,0,primary,random,3,2,16,0.090131596,0.090339355,0.00020775944,-0.019724369049072266,,4.5294647,0.090131596,,,,0.10123755,0.18293388,,4.5294642,0.090339355,,,,0.10201473,0.183341
dipole,0,primary,random,4,0,17,0.090131596,0.09045379,0.0003221929,-0.023903727531433105,,4.5294647,0.090131596,,,,0.10123755,0.18293388,,4.5294595,0.09045379,,,,0.102417484,0.1835623
dipole,0,primary,random,4,1,16,0.090131596,0.090419635,0.00028803945,-0.022771358489990234,,4.5294647,0.090131596,,,,0.10123755,0.18293388,,4.529458,0.090419635,,,,0.10230085,0.18350007
dipole,0,primary,random,4,2,16,0.090131596,0.09034137,0.0002097711,-0.01976633071899414,,4.5294647,0.090131596,,,,0.10123755,0.18293388,,4.5294614,0.09034137,,,,0.10201762,0.1833453
dipole,0,primary,shuffled,0,0,18,0.090131596,0.09033599,0.00020439178,-0.01961374282836914,,4.5294647,0.090131596,,,,0.10123755,0.18293388,,4.529464,0.09033599,,,,0.1020098,0.1833398
dipole,0,primary,shuffled,0,1,19,0.090131596,0.09037587,0.00024427474,-0.021083354949951172,,4.5294647,0.090131596,,,,0.10123755,0.18293388,,4.529467,0.09037587,,,,0.10215389,0.18341546
dipole,0,primary,shuffled,0,2,27,0.090131596,0.09045811,0.00032651424,-0.024042487144470215,,4.5294647,0.090131596,,,,0.10123755,0.18293388,,4.5294647,0.09045811,,,,0.10243425,0.1835723
dipole,0,primary,shuffled,1,0,21,0.090131596,0.090406485,0.00027488917,-0.022226810455322266,,4.5294647,0.090131596,,,,0.10123755,0.18293388,,4.529463,0.090406485,,,,0.102257356,0.18347347
dipole,0,primary,shuffled,1,1,20,0.090131596,0.09042135,0.00028975308,-0.02281367778778076,,4.5294647,0.090131596,,,,0.10123755,0.18293388,,4.529469,0.09042135,,,,0.10231174,0.18350288
dipole,0,primary,shuffled,1,2,20,0.090131596,0.09043325,0.00030165166,-0.023224234580993652,,4.5294647,0.090131596,,,,0.10123755,0.18293388,,4.529465,0.09043325,,,,0.10234864,0.18352424
dipole,0,primary,shuffled,2,0,18,0.090131596,0.0903685,0.00023690611,-0.020896196365356445,,4.5294647,0.090131596,,,,0.10123755,0.18293388,,4.5294595,0.0903685,,,,0.10212173,0.18340127
dipole,0,primary,shuffled,2,1,20,0.090131596,0.09041742,0.00028582662,-0.02272212505340576,,4.5294647,0.090131596,,,,0.10123755,0.18293388,,4.5294633,0.09041742,,,,0.102301486,0.18349682
dipole,0,primary,shuffled,2,2,18,0.090131596,0.09043402,0.00030242652,-0.02331244945526123,,4.5294647,0.090131596,,,,0.10123755,0.18293388,,4.5294604,0.09043402,,,,0.102358,0.18352942
dipole,0,primary,shuffled,3,0,20,0.090131596,0.09044157,0.00030997396,-0.023499608039855957,,4.5294647,0.090131596,,,,0.10123755,0.18293388,,4.529467,0.09044157,,,,0.102369905,0.1835407
dipole,0,primary,shuffled,3,1,17,0.090131596,0.09042534,0.0002937466,-0.022963762283325195,,4.5294647,0.090131596,,,,0.10123755,0.18293388,,4.529463,0.09042534,,,,0.10231887,0.18351144
dipole,0,primary,shuffled,3,2,16,0.090131596,0.09049109,0.00035949796,-0.025455117225646973,,4.5294647,0.090131596,,,,0.10123755,0.18293388,,4.529466,0.09049109,,,,0.10254265,0.18363884
dipole,0,primary,shuffled,4,0,19,0.090131596,0.090399824,0.00026822835,-0.02196061611175537,,4.5294647,0.090131596,,,,0.10123755,0.18293388,,4.529469,0.090399824,,,,0.10222165,0.18345782
dipole,0,primary,shuffled,4,1,16,0.090131596,0.090410694,0.00027909875,-0.02242720127105713,,4.5294647,0.090131596,,,,0.10123755,0.18293388,,4.529462,0.090410694,,,,0.10226643,0.18347904
