property,conditioning,seed,metric_value
dipole,none,0,0.0901
dipole,none,1,0.0944
dipole,none,2,0.0922
dipole,none,3,0.0953
dipole,none,4,0.0896
dipole,tda,0,0.091
dipole,tda,1,0.1016
dipole,tda,2,0.0895
dipole,tda,3,0.0983
dipole,tda,4,0.0878
dipole,random,0,0.0848
dipole,random,1,0.0961
dipole,random,2,0.0903
dipole,random,3,0.0936
dipole,random,4,0.0953
polar,none,0,2.1735
polar,none,1,2.2561
polar,none,2,1.8229
polar,none,3,2.1818
polar,none,4,2.0784
polar,tda,0,2.2438
polar,tda,1,2.4666
polar,tda,2,2.1474
polar,tda,3,2.3276
polar,tda,4,2.4555
polar,random,0,2.031
polar,random,1,2.7854
polar,random,2,2.4236
polar,random,3,2.2543
polar,random,4,2.4264
